data,ENCTD125,ENCTD110,ENCTD90,ENCTD75,ENCTD63,ENCTD50,ENCTD40,ENCTD32
2018-01-07,18456.0,36363.75,74505.0,7241.25,592.5,5070.0,9585.0,5859.0
2018-01-14,772.2,2081.4,2402.4,1440.6,222.0,1490.4,2730.0,1663.2
2018-01-21,4414.2,8135.4,9110.4,5902.8,396.0,5734.8,8994.0,4633.2
2018-01-28,494.4,2310.0,1602.0,1131.0,312.0,1314.0,1627.2,1600.8
2018-02-04,927.6,963.0,2298.0,1026.0,0.0,1068.0,1144.8,1317.6
2018-02-11,2098.2,3921.0,5415.0,2481.0,336.0,3612.0,5637.6,2775.6
2018-02-18,428.4,1368.0,3045.0,978.0,96.0,1668.0,3758.4,1728.0
2018-02-25,1666.8,3426.0,2676.0,2232.0,0.0,2004.0,2421.6,712.8
2018-03-04,1045.8,2106.0,4500.0,954.0,66.0,1044.0,1782.0,1438.8
2018-03-11,1645.8,4228.8,5266.8,2833.8,180.0,3445.8,6205.8,2938.2
2018-03-18,637.2,1987.2,3000.0,2325.0,72.0,1341.0,1607.4,1354.2
2018-03-25,862.2,1287.0,2520.6,789.0,132.0,882.0,2818.8,986.4
2018-04-01,1284.0,2835.0,3147.0,1827.0,150.0,2334.0,4722.0,2253.6
2018-04-08,1204.8,1407.0,2514.0,1590.0,300.0,1254.0,2588.4,2328.0
2018-04-15,1214.4,1512.0,2604.0,783.0,180.0,2466.0,2235.6,1794.0
2018-04-22,1537.8,2484.0,4452.0,3540.0,150.0,3171.0,5406.0,1879.2
2018-04-29,925.8,2010.0,3094.8,825.0,0.0,852.0,1458.0,1026.0
2018-05-06,1498.8,3212.4,1965.0,990.0,12.0,1806.0,3078.0,2462.4
2018-05-13,765.6,1182.0,2028.0,1680.0,72.0,1620.0,2511.6,1152.0
2018-05-20,1938.6,3282.0,5163.0,1560.0,294.0,2250.0,5713.2,2361.6
2018-05-27,1168.8,1779.0,3540.0,6192.0,300.0,5082.0,6912.0,3423.6
2018-06-03,366.0,807.0,1707.0,372.0,0.0,804.0,1090.8,302.4
2018-06-10,4043.4,6774.0,10596.0,4089.0,780.0,4842.0,8298.0,5518.8
2018-06-17,5406.0,4995.0,6729.0,2922.0,492.0,1914.0,3380.4,4136.4
2018-06-24,1823.4,2331.0,3198.0,912.0,48.0,1071.0,3726.0,1226.4
2018-07-01,1355.4,2074.2,3811.2,1930.2,120.0,2314.2,3450.6,1965.6
2018-07-08,3250.8,6139.2,8672.4,4196.4,252.0,6506.4,7694.4,4017.6
2018-07-15,772.8,3226.8,2900.4,2582.4,60.0,2020.8,1572.0,410.4
2018-07-22,2380.8,5323.2,5071.2,3289.2,96.0,4891.2,7464.0,2695.2
2018-07-29,1742.4,4584.0,6192.0,3402.0,240.0,2976.0,6652.8,3974.4
2018-08-05,3234.0,6312.0,8754.0,5298.0,360.0,2244.0,5205.6,3170.4
2018-08-12,643.2,2070.0,2544.0,1920.0,0.0,1572.0,8402.4,4276.8
2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,63.6,0.0,414.0,408.0,240.0,1440.0,432.0,302.4
2018-09-02,862.8,3300.0,3768.0,3276.0,420.0,3168.0,4557.6,2937.6
2018-09-09,2562.0,5724.0,8538.0,4860.0,240.0,7440.0,6213.6,2678.4
2018-09-16,3176.4,11286.0,7239.6,2628.0,504.0,4704.0,9417.6,2527.2
2018-09-23,2768.4,5652.0,8268.0,5340.0,132.0,4488.0,10492.8,6864.0
2018-09-30,11235.6,15568.8,10432.8,10576.8,600.0,9484.8,15110.4,4528.8
2018-10-07,2604.0,6090.0,6210.0,1926.0,0.0,3420.0,6297.6,2937.6
2018-10-14,1552.8,3362.4,5228.4,2436.0,264.0,1766.4,2457.6,4212.0
2018-10-21,4953.6,6402.0,9904.8,4620.0,1056.0,4752.0,7041.6,5611.2
2018-10-28,2598.0,3480.0,4362.0,3188.4,264.0,4132.8,5894.4,3549.6
2018-11-04,1838.4,3702.0,6258.0,3342.0,120.0,2676.0,3477.6,5032.8
2018-11-11,3295.2,5436.0,9030.0,2664.0,348.0,6540.0,9614.4,4778.4
2018-11-18,2062.8,3468.0,6384.0,3846.0,168.0,3624.0,7041.6,4620.0
2018-11-25,2517.6,5454.0,9894.0,7338.0,12.0,5310.0,4221.6,3602.4
2018-12-02,2473.2,4842.0,7866.0,3450.0,24.0,4236.0,6069.6,4082.4
2018-12-09,3532.8,4627.2,8689.2,3702.0,708.0,5083.2,7428.0,2808.0
2018-12-16,14882.4,24360.0,36156.0,14946.0,1380.0,9048.0,13914.0,9806.4
2018-12-23,636.0,1110.0,2022.0,270.0,0.0,456.0,1274.4,928.8
2018-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,2521.2,5142.0,8178.0,5616.0,120.0,3528.0,6804.0,4622.4
2019-01-13,2254.8,5310.0,7524.0,4302.0,720.0,6384.0,6940.8,5467.2
2019-01-20,3397.2,6516.0,7800.0,4176.0,528.0,4572.0,6890.4,4540.8
2019-01-27,1922.4,4416.0,6600.0,3150.0,24.0,3060.0,9134.4,3475.2
2019-02-03,2890.8,6258.0,9216.0,5490.0,168.0,4302.0,6495.6,4312.8
2019-02-10,1562.4,3096.0,7044.0,2886.0,120.0,2964.0,4536.0,3736.8
2019-02-17,5329.2,5676.0,9564.0,6054.0,156.0,4785.6,8827.2,3996.0
2019-02-24,3060.0,6392.4,7106.4,3080.4,288.0,3642.0,8898.0,6760.8
2019-03-03,2886.0,3318.0,6186.0,5316.0,252.0,4476.0,4629.6,7044.0
2019-03-10,1026.0,2712.0,3096.0,2214.0,24.0,3252.0,3175.2,2289.6
2019-03-17,18164.4,46572.0,98472.0,13314.0,312.0,8906.4,15680.4,11684.4
2019-03-24,3482.4,4884.0,9667.2,4968.0,24.0,4920.0,10257.6,1944.0
2019-03-31,2698.8,4950.0,6066.0,4326.0,480.0,2646.0,9655.2,5227.2
2019-04-07,3066.0,8514.0,11436.0,5994.0,972.0,4620.0,7190.4,6727.2
2019-04-14,1591.2,4984.0,6918.0,3470.4,48.0,4740.0,6004.8,5323.2
2019-04-21,1816.8,4866.0,6618.0,2616.0,132.0,1392.0,4017.6,4365.6
2019-04-28,1008.0,1650.0,3192.0,1980.0,0.0,4740.0,6350.4,2786.4
2019-05-05,2865.6,5160.0,7434.0,4560.0,720.0,4548.0,7464.0,3283.2
2019-05-12,9819.6,14334.0,20718.0,11448.0,1200.0,11340.0,15859.2,9475.2
2019-05-19,1179.6,1950.0,4242.0,2610.0,480.0,3672.0,3614.4,1785.6
2019-05-26,4339.2,5784.0,8982.0,5094.0,288.0,8436.0,8328.0,5001.6
2019-06-02,2047.2,6246.0,7038.0,2910.0,36.0,3636.0,11404.8,7668.0
2019-06-09,4131.6,6992.4,8505.6,2268.0,480.0,5594.4,6861.6,4689.6
2019-06-16,1753.2,4026.0,6618.0,1620.0,228.0,2894.4,6681.6,2829.6
2019-06-23,944.4,1998.0,4248.0,1620.0,48.0,3528.0,2508.0,1620.0
2019-06-30,2510.4,5034.0,5946.0,5472.0,288.0,4284.0,5097.6,4471.2
2019-07-07,729.6,2169.0,2949.0,1728.0,180.0,3324.0,4644.0,1328.4
2019-07-14,567.0,1434.0,1872.0,1161.0,0.0,1332.0,1933.2,2216.4
2019-07-21,946.2,1332.0,1617.0,2328.0,120.0,558.0,702.0,1296.0
2019-07-28,1363.8,3060.0,4758.0,2010.0,150.0,2604.0,4968.0,3345.6
2019-08-04,435.6,1617.0,2814.0,1935.0,180.0,2025.0,2730.6,1609.2
2019-08-11,1069.8,1686.0,3471.0,2337.0,360.0,1566.0,3088.8,1285.2
2019-08-18,127.2,270.0,138.0,180.0,0.0,270.0,140.4,302.4
2019-08-25,817.2,1878.0,2493.0,1818.0,90.0,1206.0,3607.2,1749.6
2019-09-01,339.0,1083.0,1266.0,588.0,0.0,1692.0,1414.8,1965.6
2019-09-08,1246.2,1605.6,2699.4,1718.4,0.0,1952.4,2295.6,2343.6
2019-09-15,956.4,879.0,2058.0,1554.0,84.0,972.0,1458.0,1198.8
2019-09-22,1696.8,2370.0,3462.0,2223.0,24.0,3528.0,3831.6,2332.8
2019-09-29,1638.6,3975.0,4428.0,2586.0,90.0,2742.0,4276.8,1470.0
2019-10-06,1724.4,3403.8,4906.8,2721.0,894.0,2293.8,5388.6,3845.4
2019-10-13,862.8,1119.0,3264.0,2529.0,24.0,1674.0,3348.0,2376.0
2019-10-20,747.6,2520.0,4245.0,1845.0,132.0,2808.0,5076.0,2095.2
2019-10-27,1746.0,3732.0,5772.0,2523.0,162.0,2484.0,3012.0,2454.0
2019-11-03,1104.0,1830.6,3084.6,1782.0,120.0,1737.6,2385.6,1219.2
2019-11-10,1004.4,2037.0,1803.0,2004.0,72.0,2130.0,3013.2,2635.2
2019-11-17,1182.6,4746.0,6708.0,3075.0,72.0,4230.0,5828.4,1962.0
2019-11-24,570.6,1425.0,2361.0,1161.0,60.0,1224.0,2570.4,2080.8
2019-12-01,3888.6,5655.6,8958.6,5316.6,504.0,5013.6,8154.0,4006.8
2019-12-08,1554.0,3105.0,4014.0,2058.0,0.0,1788.0,2905.2,1803.6
2019-12-15,966.6,3060.0,3132.0,1272.0,120.0,1578.0,3166.8,2203.2
2019-12-22,3287.4,5790.0,8109.0,4677.0,372.0,840.0,2020.8,2712.0
2019-12-29,31.8,90.0,69.0,90.0,0.0,90.0,140.4,0.0
2020-01-05,266.4,801.0,834.0,294.0,0.0,313.2,2203.2,172.8
2020-01-12,1870.2,3792.0,5304.6,3420.0,282.0,3702.0,4968.0,3240.0
2020-01-19,1678.8,3594.0,4575.0,1869.0,48.0,3072.0,4461.6,2924.4
2020-01-26,2105.4,4641.0,6684.0,4200.0,162.0,3180.0,6994.8,2581.2
2020-02-02,1830.0,4395.0,5028.0,2445.0,390.0,3828.0,4249.2,1573.2
2020-02-09,1872.6,3768.0,4710.0,4725.0,95.4,3798.0,8175.6,3639.6
2020-02-16,1800.6,4018.8,6934.8,4557.0,120.0,4680.0,3554.4,3780.0
2020-02-23,2025.6,5892.0,6810.0,2748.0,90.0,3238.8,6546.0,2343.6
2020-03-01,1321.8,2448.0,3663.0,2173.8,300.0,2395.8,3628.8,3088.8
2020-03-08,4023.0,6468.0,11613.0,3540.0,0.0,4095.0,4266.0,4239.0
